Time,in_V_M1,in_V_M2,in_V_M3,in_V_M4,out_W_M1,out_W_M2,out_W_M3,out_W_M4,V_Batt,j
6499,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.36,41
6509,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.36,42
6519,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.37,43
6529,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.37,44
6539,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.37,45
6549,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.37,46
6559,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.37,47
6569,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.37,48
6579,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.37,49
6589,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.37,50
6599,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.37,51
6609,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.37,52
6619,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.37,53
6629,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.37,54
6639,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,55
6649,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.37,56
6659,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.37,57
6669,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,58
6679,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.37,59
6689,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,60
6699,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,61
6709,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,62
6719,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,63
6729,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.37,64
6739,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,65
6749,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,66
6759,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,67
6769,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,68
6779,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,69
6789,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,70
6799,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,71
6809,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,72
6819,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,73
6829,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,74
6839,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,75
6849,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,76
6859,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,77
6869,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,78
6879,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,79
6889,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,80
6899,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,81
6909,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,82
6919,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,83
6929,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,84
6939,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,85
6949,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,86
6959,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,87
6969,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,88
6979,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,89
6989,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,90
6999,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,91
7009,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,92
7019,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,93
7029,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,94
7039,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,95
7049,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,96
7059,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,97
7069,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,98
7079,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,99
7089,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.38,0
7099,11.50,11.50,11.50,11.50,-0.28,-0.14,0.00,-0.00,13.38,1
7109,11.50,11.50,11.50,11.50,-0.28,-0.28,0.00,-0.00,7.84,2
7119,11.50,11.50,11.50,11.50,-2.10,-1.68,-1.12,-1.26,7.68,3
7129,11.50,11.50,11.50,11.50,-3.09,-3.09,-2.52,-2.66,8.52,4
7139,11.50,11.50,11.50,11.50,-4.21,-3.93,-3.65,-3.65,8.94,5
7149,11.50,11.50,11.50,11.50,-5.05,-4.91,-4.63,-4.63,9.19,6
7159,11.50,11.50,11.50,11.50,-5.75,-5.75,-5.61,-5.61,8.98,7
7169,11.50,11.50,11.50,11.50,-6.73,-6.45,-6.59,-6.31,9.74,8
7179,11.50,11.50,11.50,11.50,-7.29,-7.29,-7.43,-7.01,9.64,9
7189,11.50,11.50,11.50,11.50,-7.99,-7.99,-7.99,-7.85,10.22,10
7199,11.50,11.50,11.50,11.50,-8.56,-8.41,-8.56,-8.42,10.44,11
7209,11.50,11.50,11.50,11.50,-9.12,-8.98,-9.26,-8.84,10.61,12
7219,11.50,11.50,11.50,11.50,-9.54,-9.40,-9.82,-9.54,10.80,13
7229,11.50,11.50,11.50,11.50,-10.10,-9.82,-10.24,-9.96,10.84,14
7239,11.50,11.50,11.50,11.50,-10.38,-10.24,-10.66,-10.24,10.99,15
7249,11.50,11.50,11.50,11.50,-10.94,-10.66,-11.08,-10.80,11.05,16
7259,11.50,11.50,11.50,11.50,-11.08,-10.94,-11.36,-11.08,11.24,17
7269,11.50,11.50,11.50,11.50,-11.50,-11.22,-11.64,-11.36,11.31,18
